,mean_abs_shap
self__shock__wlfrac0__std,0.00013957437057037105
other__shock__sp_spread_hz__p90,0.00013941491748527935
other__vib__sp_entropy__max,0.00013930564896751202
contrast__shock__zcr__median,0.00013921492517924417
contrast__vib__peak__median,0.0001388951969465049
contrast__shock__shape__mean,0.00013889064768135185
other__vib__sp_centroid_hz__max,0.00013781931104813057
contrast__vib__std__median,0.00013776790442265822
contrast__shock__sp_flatness__max,0.00013668928724832737
contrast__vib__wlfrac4__max,0.0001365002497570658
other__vib__crest__median,0.00013642281309158487
other__shock__sp_centroid_hz__median,0.00013636218688749155
contrast__shock__skewness__median,0.00013605002643559018
contrast__shock__wl_flatness__p90,0.00013592877722314327
other__vib__sp_spread_hz__median,0.00013521114164443128
other__shock__wlfrac0__median,0.0001352024053708366
contrast__shock__kurtosis__std,0.00013474442531537923
self__shock__wl_peak_m__max,0.00013393549317115911
contrast__shock__sp_centroid_hz__median,0.00013382605125596738
other__shock__skewness__mean,0.00013245891717299365
other__shock__shape__median,0.00013043030637781088
other__shock__sp_spread_hz__median,0.00012915474711714845
self__vib__sp_flatness__mean,0.0001284644499303656
contrast__shock__sp_entropy__max,0.00012806264228174268
contrast__shock__sp_entropy__mean,0.00012731873001884216
self__shock__sp_flatness__mean,0.0001255341402750272
contrast__shock__wlfrac3__p90,0.00012549179733983192
other__vib__wlfrac2__mean,0.0001252085998415404
contrast__shock__wl_centroid_m__std,0.00012514601829638835
other__shock__wl_centroid_m__max,0.00012471021203954127
self__shock__sp_centroid_hz__median,0.00012450373718649702
contrast__shock__kurtosis__max,0.0001242475268138646
contrast__vib__sp_flatness__median,0.00012423365043055603
other__shock__wlfrac3__median,0.00012384942063920772
contrast__vib__wlabs0__mean,0.0001231097133926458
other__shock__crest__mean,0.00012301062306395875
contrast__vib__shape__median,0.0001227944348743743
contrast__shock__wl_flatness__median,0.00012165151427634824
self__vib__zcr__p90,0.0001213482166967304
contrast__shock__sp_flatness__mean,0.0001212393702750134
other__shock__wlfrac4__median,0.00012077106614792775
self__shock__impulse__p90,0.00012066782636799183
self__vib__wl_peak_m__p90,0.00011949833634055598
other__shock__wlfrac3__p90,0.00011850206049924336
self__shock__sp_rolloff95_hz__median,0.0001174113212823735
contrast__vib__wl_peak_m__median,0.00011681992420338241
other__shock__sp_spread_hz__mean,0.00011663142909583586
contrast__vib__sp_entropy__max,0.00011648957014351042
contrast__vib__wlfrac0__median,0.00011556368011379868
self__shock__wl_flatness__max,0.00011487447495168861
self__shock__wlfrac1__max,0.00011453870678083075
contrast__vib__sp_centroid_hz__p90,0.00011448859350236801
contrast__shock__wl_centroid_m__max,0.00011437724037700542
contrast__shock__sp_flatness__std,0.0001135941992395469
other__shock__sp_spread_hz__std,0.00011353415734902082
self__vib__zcr__max,0.00011347648256712113
contrast__shock__sp_centroid_hz__std,0.00011253456791719803
contrast__vib__clearance__std,0.00011240338523535384
contrast__shock__wlfrac1__mean,0.0001123797380016039
self__shock__wl_peak_m__p90,0.00011190514412845982
other__vib__sp_rolloff95_hz__median,0.00011147433179696985
self__vib__clearance__p90,0.00010967514445464983
contrast__shock__wlfrac1__median,0.00010850328353300323
other__vib__sp_rolloff95_hz__mean,0.00010832610283816575
contrast__shock__wl_entropy__mean,0.0001081725406561101
self__vib__wlfrac2__mean,0.00010812315031907916
other__shock__shape__p90,0.00010786615958793202
other__shock__wl_flatness__std,0.00010739712041489865
contrast__vib__crest__mean,0.00010708866834323315
contrast__vib__sp_flatness__p90,0.00010703415133027869
other__shock__zcr__max,0.0001070265403751273
self__shock__impulse__mean,0.00010649584954598002
